"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","hsa04110","Cell cycle","21/129","128/5894",2.35645190148068e-13,2.35645190148068e-13,2.57969471319990e-11,"1870/4171/991/4173/7272/9133/9088/8318/891/699/890/4175/23594/995/1111/1871/4998/5347/9134/898/4085",21
"hsa03030","hsa03030","DNA replication","7/129","36/5894",1.00571844542661e-05,1.00571844542661e-05,0.000550498517496669,"4171/4173/4175/2237/5427/1763/10535",7
"hsa04114","hsa04114","Oocyte meiosis","11/129","114/5894",3.41625350387266e-05,3.41625350387266e-05,0.00124663285755353,"6790/991/9133/9088/891/699/995/5347/9134/898/4085",11
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","8/129","87/5894",0.000580568518353256,0.000580568518353256,0.015631148222778,"9133/9088/891/699/890/995/5347/4085",8
"hsa04115","hsa04115","p53 signaling pathway","7/129","69/5894",0.000713922635174958,0.000713922635174958,0.015631148222778,"9133/891/1111/6241/9134/898/51512",7
"hsa03440","hsa03440","Homologous recombination","4/129","28/5894",0.00298376275940016,0.00298376275940016,0.0544405836802836,"641/8438/7517/146956",4
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","4/129","32/5894",0.00489875765833214,0.00489875765833214,0.0766121498445928,"84706/5471/2673/2571",4
"hsa03410","hsa03410","Base excision repair","4/129","34/5894",0.00610875057958115,0.00610875057958115,0.0835934289837421,"142/2237/5427/23583",4
"hsa00740","hsa00740","Riboflavin metabolism","2/129","11/5894",0.022973747419479,0.022973747419479,0.279446752236938,"51205/80308",2
"hsa05222","hsa05222","Small cell lung cancer","5/129","85/5894",0.037917588873954,0.037917588873954,0.408898749117021,"1870/1871/1163/9134/898",5
"hsa00565","hsa00565","Ether lipid metabolism","3/129","36/5894",0.0432776734008202,0.0432776734008202,0.408898749117021,"5050/8612/85465",3
"hsa05215","hsa05215","Prostate cancer","5/129","89/5894",0.0448215936532119,0.0448215936532119,0.408898749117021,"1870/1871/9134/898/148327",5
"hsa00600","hsa00600","Sphingolipid metabolism","3/129","40/5894",0.0562646637941155,0.0562646637941155,0.473807695108341,"8612/8879/130367",3
"hsa00230","hsa00230","Purine metabolism","7/129","162/5894",0.0640011128931035,0.0640011128931035,0.47573880955587,"471/5471/10606/5437/6241/124583/5427",7
"hsa00240","hsa00240","Pyrimidine metabolism","5/129","99/5894",0.0651853657324148,0.0651853657324148,0.47573880955587,"7083/5437/6241/124583/5427",5
"hsa00480","hsa00480","Glutathione metabolism","3/129","50/5894",0.095626150581747,0.095626150581747,0.593333154766872,"3418/6241/79017",3
"hsa04950","hsa04950","Maturity onset diabetes of the young","2/129","25/5894",0.102892135346721,0.102892135346721,0.593333154766872,"3174/3110",2
"hsa03015","hsa03015","mRNA surveillance pathway","4/129","83/5894",0.107858424706376,0.107858424706376,0.593333154766872,"1478/124540/11052/51692",4
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/129","26/5894",0.109929685592461,0.109929685592461,0.593333154766872,"2524/8703",2
"hsa00330","hsa00330","Arginine and proline metabolism","3/129","54/5894",0.113817273438453,0.113817273438453,0.593333154766872,"5831/5832/65263",3
"hsa05110","hsa05110","Vibrio cholerae infection","3/129","54/5894",0.113817273438453,0.113817273438453,0.593333154766872,"11015/9601/11014",3
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","2/129","30/5894",0.139225898722508,0.139225898722508,0.662677046551069,"3418/5091",2
"hsa00650","hsa00650","Butanoate metabolism","2/129","30/5894",0.139225898722508,0.139225898722508,0.662677046551069,"79944/2571",2
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","1/129","10/5894",0.198658702232536,0.198658702232536,0.883181562232351,"2571",1
"hsa05219","hsa05219","Bladder cancer","2/129","42/5894",0.234081227998444,0.234081227998444,0.883181562232351,"1870/1871",2
"hsa03013","hsa03013","RNA transport","5/129","152/5894",0.239223115687977,0.239223115687977,0.883181562232351,"1917/23225/10460/9631/57510",5
"hsa00310","hsa00310","Lysine degradation","2/129","44/5894",0.250386899582455,0.250386899582455,0.883181562232351,"9869/9739",2
"hsa02010","hsa02010","ABC transporters","2/129","44/5894",0.250386899582455,0.250386899582455,0.883181562232351,"10058/8714",2
"hsa04940","hsa04940","Type I diabetes mellitus","2/129","45/5894",0.258554697900951,0.258554697900951,0.883181562232351,"3382/2571",2
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","3/129","81/5894",0.260954498435254,0.260954498435254,0.883181562232351,"1736/4931/55226",3
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo series","1/129","14/5894",0.266672029800476,0.266672029800476,0.883181562232351,"2524",1
"hsa03450","hsa03450","Non-homologous end-joining","1/129","14/5894",0.266672029800476,0.266672029800476,0.883181562232351,"2237",1
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/129","15/5894",0.282760347514037,0.282760347514037,0.883181562232351,"8703",1
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","2/129","48/5894",0.283067517023488,0.283067517023488,0.883181562232351,"2673/80201",2
"hsa04512","hsa04512","ECM-receptor interaction","3/129","85/5894",0.284837023921624,0.284837023921624,0.883181562232351,"3161/6696/22801",3
"hsa00510","hsa00510","N-Glycan biosynthesis","2/129","49/5894",0.291228615207807,0.291228615207807,0.883181562232351,"79053/8703",2
"hsa00770","hsa00770","Pantothenate and CoA biosynthesis","1/129","16/5894",0.298498383773722,0.298498383773722,0.883181562232351,"80347",1
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","5/129","168/5894",0.306643950578865,0.306643950578865,0.883406395019446,"9601/5034/56886/56893/10525",5
"hsa00670","hsa00670","One carbon pool by folate","1/129","18/5894",0.328953722381619,0.328953722381619,0.885944640112898,"471",1
"hsa00500","hsa00500","Starch and sucrose metabolism","2/129","54/5894",0.331803305119205,0.331803305119205,0.885944640112898,"283209/80201",2
"hsa05223","hsa05223","Non-small cell lung cancer","2/129","54/5894",0.331803305119205,0.331803305119205,0.885944640112898,"1870/1871",2
"hsa00410","hsa00410","beta-Alanine metabolism","1/129","22/5894",0.385983341922276,0.385983341922276,0.901547752605443,"2571",1
"hsa03060","hsa03060","Protein export","1/129","23/5894",0.399472468095986,0.399472468095986,0.901547752605443,"58477",1
"hsa03430","hsa03430","Mismatch repair","1/129","23/5894",0.399472468095986,0.399472468095986,0.901547752605443,"9156",1
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","1/129","23/5894",0.399472468095986,0.399472468095986,0.901547752605443,"1468",1
"hsa04977","hsa04977","Vitamin digestion and absorption","1/129","24/5894",0.412667503288563,0.412667503288563,0.901547752605443,"8884",1
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","2/129","65/5894",0.418327727899599,0.418327727899599,0.901547752605443,"80201/2023",2
"hsa05214","hsa05214","Glioma","2/129","65/5894",0.418327727899599,0.418327727899599,0.901547752605443,"1870/1871",2
"hsa04320","hsa04320","Dorso-ventral axis formation","1/129","25/5894",0.42557481028614,0.42557481028614,0.901547752605443,"84501",1
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/129","26/5894",0.438200615273887,0.438200615273887,0.901547752605443,"90161",1
"hsa00052","hsa00052","Galactose metabolism","1/129","27/5894",0.450551010745882,0.450551010745882,0.901547752605443,"80201",1
"hsa05212","hsa05212","Pancreatic cancer","2/129","70/5894",0.455818635366158,0.455818635366158,0.901547752605443,"1870/1871",2
"hsa03018","hsa03018","RNA degradation","2/129","71/5894",0.463152539401696,0.463152539401696,0.901547752605443,"6499/2023",2
"hsa05218","hsa05218","Melanoma","2/129","71/5894",0.463152539401696,0.463152539401696,0.901547752605443,"1870/1871",2
"hsa00340","hsa00340","Histidine metabolism","1/129","29/5894",0.474449291693474,0.474449291693474,0.901547752605443,"114049",1
"hsa03020","hsa03020","RNA polymerase","1/129","29/5894",0.474449291693474,0.474449291693474,0.901547752605443,"5437",1
"hsa05140","hsa05140","Leishmaniasis","2/129","73/5894",0.477646934313076,0.477646934313076,0.901547752605443,"3654/65108",2
"hsa05220","hsa05220","Chronic myeloid leukemia","2/129","73/5894",0.477646934313076,0.477646934313076,0.901547752605443,"1870/1871",2
"hsa00512","hsa00512","Mucin type O-Glycan biosynthesis","1/129","30/5894",0.4860087190373,0.4860087190373,0.9017824581602,"9245",1
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/129","32/5894",0.508376078167932,0.508376078167932,0.925031597315477,"29968",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","2/129","80/5894",0.526464727213114,0.526464727213114,0.925031597315477,"8612/85465",2
"hsa00051","hsa00051","Fructose and mannose metabolism","1/129","36/5894",0.550253790880451,0.550253790880451,0.925031597315477,"80201",1
"hsa04130","hsa04130","SNARE interactions in vesicular transport","1/129","36/5894",0.550253790880451,0.550253790880451,0.925031597315477,"6804",1
"hsa05020","hsa05020","Prion diseases","1/129","36/5894",0.550253790880451,0.550253790880451,0.925031597315477,"10963",1
"hsa05016","hsa05016","Huntington's disease","4/129","183/5894",0.572792747729658,0.572792747729658,0.925031597315477,"5437/7019/4728/148327",4
"hsa05200","hsa05200","Pathways in cancer","7/129","327/5894",0.580050693713652,0.580050693713652,0.925031597315477,"1870/7473/332/1871/1163/9134/898",7
"hsa00620","hsa00620","Pyruvate metabolism","1/129","40/5894",0.588589557438952,0.588589557438952,0.925031597315477,"5091",1
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","3/129","139/5894",0.591477160489106,0.591477160489106,0.925031597315477,"991/11065/63893",3
"hsa00350","hsa00350","Tyrosine metabolism","1/129","41/5894",0.597655486221046,0.597655486221046,0.925031597315477,"114049",1
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","2/129","95/5894",0.620376165622192,0.620376165622192,0.925031597315477,"8612/65108",2
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","1/129","44/5894",0.623680807107458,0.623680807107458,0.925031597315477,"148327",1
"hsa04973","hsa04973","Carbohydrate digestion and absorption","1/129","44/5894",0.623680807107458,0.623680807107458,0.925031597315477,"80201",1
"hsa03420","hsa03420","Nucleotide excision repair","1/129","45/5894",0.631979127771242,0.631979127771242,0.925031597315477,"5427",1
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","1/129","46/5894",0.640095847298941,0.640095847298941,0.925031597315477,"8703",1
"hsa04975","hsa04975","Fat digestion and absorption","1/129","46/5894",0.640095847298941,0.640095847298941,0.925031597315477,"8612",1
"hsa04916","hsa04916","Melanogenesis","2/129","101/5894",0.653752874064838,0.653752874064838,0.925031597315477,"7473/148327",2
"hsa04930","hsa04930","Type II diabetes mellitus","1/129","48/5894",0.655800173160395,0.655800173160395,0.925031597315477,"80201",1
"hsa04620","hsa04620","Toll-like receptor signaling pathway","2/129","102/5894",0.659085013087277,0.659085013087277,0.925031597315477,"6696/3654",2
"hsa00561","hsa00561","Glycerolipid metabolism","1/129","50/5894",0.67082432611537,0.67082432611537,0.929590005542952,"8612",1
"hsa00983","hsa00983","Drug metabolism - other enzymes","1/129","52/5894",0.685197545027575,0.685197545027575,0.936159599417966,"7083",1
"hsa05217","hsa05217","Basal cell carcinoma","1/129","55/5894",0.705597775278127,0.705597775278127,0.936159599417966,"7473",1
"hsa04340","hsa04340","Hedgehog signaling pathway","1/129","56/5894",0.712101951847595,0.712101951847595,0.936159599417966,"7473",1
"hsa00140","hsa00140","Steroid hormone biosynthesis","1/129","57/5894",0.718463522284673,0.718463522284673,0.936159599417966,"6715",1
"hsa00562","hsa00562","Inositol phosphate metabolism","1/129","57/5894",0.718463522284673,0.718463522284673,0.936159599417966,"8871",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/129","59/5894",0.730771188927645,0.730771188927645,0.936159599417966,"9536",1
"hsa05210","hsa05210","Colorectal cancer","1/129","62/5894",0.748238565383009,0.748238565383009,0.936159599417966,"332",1
"hsa04610","hsa04610","Complement and coagulation cascades","1/129","69/5894",0.784744231360035,0.784744231360035,0.936159599417966,"2161",1
"hsa04976","hsa04976","Bile secretion","1/129","71/5894",0.794173536548583,0.794173536548583,0.936159599417966,"8714",1
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","1/129","74/5894",0.80755432311223,0.80755432311223,0.936159599417966,"22801",1
"hsa04910","hsa04910","Insulin signaling pathway","2/129","138/5894",0.81063943634146,0.81063943634146,0.936159599417966,"5255/80201",2
"hsa04070","hsa04070","Phosphatidylinositol signaling system","1/129","78/5894",0.824061692235297,0.824061692235297,0.936159599417966,"8871",1
"hsa04146","hsa04146","Peroxisome","1/129","79/5894",0.827964037782348,0.827964037782348,0.936159599417966,"3418",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","1/129","83/5894",0.842732995247285,0.842732995247285,0.936159599417966,"22801",1
"hsa04210","hsa04210","Apoptosis","1/129","89/5894",0.862559643999316,0.862559643999316,0.936159599417966,"3654",1
"hsa04970","hsa04970","Salivary secretion","1/129","89/5894",0.862559643999316,0.862559643999316,0.936159599417966,"1469",1
"hsa05414","hsa05414","Dilated cardiomyopathy","1/129","90/5894",0.865613874132665,0.865613874132665,0.936159599417966,"22801",1
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)","1/129","104/5894",0.901929615564315,0.901929615564315,0.936159599417966,"3654",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","1/129","116/5894",0.925183048110244,0.925183048110244,0.936159599417966,"27094",1
"hsa04670","hsa04670","Leukocyte transendothelial migration","1/129","117/5894",0.92685341619501,0.92685341619501,0.936159599417966,"1365",1
"hsa04142","hsa04142","Lysosome","1/129","121/5894",0.933172837147383,0.933172837147383,0.936159599417966,"55353",1
"hsa04510","hsa04510","Focal adhesion","2/129","200/5894",0.937601713429137,0.937601713429137,0.936159599417966,"6696/22801",2
"hsa04722","hsa04722","Neurotrophin signaling pathway","1/129","127/5894",0.941650128904202,0.941650128904202,0.936159599417966,"3654",1
"hsa03040","hsa03040","Spliceosome","1/129","128/5894",0.942955336702253,0.942955336702253,0.936159599417966,"6637",1
"hsa04360","hsa04360","Axon guidance","1/129","130/5894",0.945479467282263,0.945479467282263,0.936159599417966,"25791",1
"hsa05012","hsa05012","Parkinson's disease","1/129","130/5894",0.945479467282263,0.945479467282263,0.936159599417966,"4728",1
"hsa00190","hsa00190","Oxidative phosphorylation","1/129","132/5894",0.947892736992047,0.947892736992047,0.936159599417966,"4728",1
"hsa04530","hsa04530","Tight junction","1/129","133/5894",0.94905931750715,0.94905931750715,0.936159599417966,"1365",1
"hsa05145","hsa05145","Toxoplasmosis","1/129","133/5894",0.94905931750715,0.94905931750715,0.936159599417966,"3654",1
"hsa05160","hsa05160","Hepatitis C","1/129","135/5894",0.951315291491992,0.951315291491992,0.936159599417966,"1365",1
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","1/129","136/5894",0.952405815436693,0.952405815436693,0.936159599417966,"1365",1
"hsa04310","hsa04310","Wnt signaling pathway","1/129","151/5894",0.966133843562471,0.966133843562471,0.936159599417966,"7473",1
"hsa05010","hsa05010","Alzheimer's disease","1/129","168/5894",0.976996167590496,0.976996167590496,0.936159599417966,"4728",1
"hsa04020","hsa04020","Calcium signaling pathway","1/129","177/5894",0.981264172935428,0.981264172935428,0.936159599417966,"5255",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","2/129","272/5894",0.984455434020874,0.984455434020874,0.936159599417966,"1138/84634",2
"hsa04144","hsa04144","Endocytosis","1/129","203/5894",0.989662999433194,0.989662999433194,0.936159599417966,"128866",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","1/129","214/5894",0.991969113998653,0.991969113998653,0.936159599417966,"22801",1
