"","gene","GeneSymbol","GeneID","weight"
"1","CPSF3|51692","CPSF3","51692","22.1846701717622"
"2","NVL|4931","NVL","4931","21.6992693927014"
"3","UNG|7374","UNG","7374","20.9223972086187"
"4","CDCA8|55143","CDCA8","55143","20.2057336694504"
"5","SLC5A6|8884","SLC5A6","8884","19.7378446558074"
"6","RCC2|55920","RCC2","55920","19.3902511007437"
"7","B4GALT3|8703","B4GALT3","8703","18.8248135392581"
"8","ZNF687|57592","ZNF687","57592","18.7287864710168"
"9","PLK1|5347","PLK1","5347","18.6758517701785"
"10","DDX23|9416","DDX23","9416","18.3325528455086"
"11","TACO1|51204","TACO1","51204","17.9751362155498"
"12","COPB2|9276","COPB2","9276","16.6746095093804"
"13","STX1A|6804","STX1A","6804","15.7230072222705"
"14","POU2F1|5451","POU2F1","5451","15.5242217503498"
"15","SF3B3|23450","SF3B3","23450","15.4225926799925"
"16","STT3A|3703","STT3A","3703","15.2417054116097"
"17","KAT2A|2648","KAT2A","2648","15.1745986179971"
"18","NOL11|25926","NOL11","25926","15.0987919648048"
"19","DHRS13|147015","DHRS13","147015","15.0380782140662"
"20","PSMD4|5710","PSMD4","5710","14.9894975132844"
"21","MTA3|57504","MTA3","57504","14.8899801582134"
"22","KIF20B|9585","KIF20B","9585","14.6065579661245"
"23","KIFC1|3833","KIFC1","3833","14.523115609407"
"24","ATL3|25923","ATL3","25923","14.4637444956378"
"25","CDK5RAP1|51654","CDK5RAP1","51654","13.9349375339174"
"26","C1orf112|55732","C1orf112","55732","13.6032261581962"
"27","RACGAP1|29127","RACGAP1","29127","13.215045236089"
"28","LYSMD1|388695","LYSMD1","388695","13.0124563174396"
"29","HYOU1|10525","HYOU1","10525","13.0018662767192"
"30","BRCC3|79184","BRCC3","79184","12.9309141597674"
"31","DONSON|29980","DONSON","29980","12.7841914291994"
"32","SEMA4C|54910","SEMA4C","54910","12.6575004908422"
"33","GTF2IRD1|9569","GTF2IRD1","9569","12.3878268280301"
"34","PYCR2|29920","PYCR2","29920","12.3596162647001"
"35","CTSA|5476","CTSA","5476","12.1573839987211"
"36","TMEM208|29100","TMEM208","29100","12.1099223872738"
"37","ALG3|10195","ALG3","10195","12.0963431807773"
"38","CHAF1B|8208","CHAF1B","8208","12.0683348849837"
"39","LIN9|286826","LIN9","286826","11.9358319221897"
"40","BCL9|607","BCL9","607","11.375832870239"
"41","PUS1|80324","PUS1","80324","11.3754296214624"
"42","TTC13|79573","TTC13","79573","11.2576958181253"
"43","DCAF12|25853","DCAF12","25853","11.1569350880316"
"44","HDAC10|83933","HDAC10","83933","11.092438368052"
"45","CHD7|55636","CHD7","55636","10.984544614168"
"46","IARS2|55699","IARS2","55699","10.9182417580548"
"47","FOXRED1|55572","FOXRED1","55572","10.8798097413463"
"48","BRCA1|672","BRCA1","672","10.8794735411093"
"49","BOLA3|388962","BOLA3","388962","10.75333106521"
"50","DECR2|26063","DECR2","26063","10.6546823738709"
